page,filename,bytes,sha256,width_px,height_px,mode
1,page-0001.png,41335,787FBFC41221F8454A97F033E83CD09D96E00C61B97E7DA3B92109FBC83ACCE5,827,1170,RGB
2,page-0002.png,264332,4428BC08754777EA5E25534006DC214BDB5E77921807ADB18D11DD5B8C2E5324,827,1170,RGB
3,page-0003.png,68543,672E4D42399DC72169C2289FDF3315034278D9E8A51E9E476D62089390141530,827,1170,RGB
4,page-0004.png,87236,D9C09154F9FDE2EBCD6439C39B26BBFE78995303ECC6B3D0C9B4BE2B2444C1F5,827,1170,RGB
5,page-0005.png,141838,43976BCF976C360BA7B2A0A6F8FA20C3BF434809635385B1184292AE5CC04C34,827,1170,RGB
6,page-0006.png,141482,291E713144E22F0C5454D0CFA4A9E90676F09DDCBBDBD7A50511B39FF98FCE2F,827,1170,RGB
7,page-0007.png,150067,D5CD406C0756E57E161169ED3A9136C0EC3EC302309381F8B13B37EE2E213CA2,827,1170,RGB
8,page-0008.png,141234,90EECF2BDCD2C6D95F937D05E00F28BCC5FEB1CDFA8EE83C0A8485CD6B925783,827,1170,RGB
9,page-0009.png,132752,847EE64FB7828F0FF5672792354EE9A70CF47D5ABF8A739312FE382F39FAC714,827,1170,RGB
10,page-0010.png,163923,40A4DB7730912E75AC5D45C6E4BA0935973E59992D6D57D88D14F0C375674406,827,1170,RGB
11,page-0011.png,171302,F11065D6D75B74B92221061D56419C5940E6BE517B04AE1830AA2595037EAB1F,827,1170,RGB
12,page-0012.png,147561,5E0D3460E832B422BD226283BC2EC59575875FC9AE0AAD885FAD85EF41A4D99D,827,1170,RGB
13,page-0013.png,155494,F9F8868F56AAA19763D0F6B178ACCF9540200F6F1EC7AF7EE04F94A79B5B58DB,827,1170,RGB
14,page-0014.png,172074,995E27001E5478E5273B22DC2C9B5DBC09ECB3250DD9CAEEF6A5466CF51954AA,827,1170,RGB
15,page-0015.png,161088,81CE3C51EF438FB421CFEC4BD168183C99A5198174A0550A76682648920DCCE0,827,1170,RGB
16,page-0016.png,183752,ADB4A632988415B1539E2BBF236B6F81070C28B41DC146455425AB850D604672,827,1170,RGB
17,page-0017.png,210249,F71E1E4762B817D2CA07A9C96457568266BB321A4C6AE8BBBC302947FEF77D93,827,1170,RGB
18,page-0018.png,164218,9FE755C8528E40AC03C59876F22C4B353D5D5F0B0D1823E4459C432474207F61,827,1170,RGB
19,page-0019.png,179735,D67A9BCFD9269A402C836ADAA30843285D6A8FDE1D973F30844F90DAE5166DC5,827,1170,RGB
20,page-0020.png,177089,527C4788AE5A47103EDB6BE9B2F163E94A9C1CEED9CFC6D9E5044B2C4C068549,827,1170,RGB
21,page-0021.png,170048,11C161C902A57593ABDF012A890617DB4E4F89B2C60A058412785E0B3A731AEE,827,1170,RGB
22,page-0022.png,175217,D03EB51E606EE09FD4A11DD417DC5AF1FD3ADC28663035390F8C590A24661F56,827,1170,RGB
23,page-0023.png,159547,BC2B027B3A911322BE956B3853B2E96B84139D1083F3EB5317F2B040AAF17EBE,827,1170,RGB
24,page-0024.png,186269,83101C42A64ECC3D1817C9EDAD4AE0AB6B7F2E4D31A590A43BD4B2FD3DA6232B,827,1170,RGB
25,page-0025.png,163966,B5344F0C1D100A833EA0BA7F1CC16152B4E39BA575BCC7F356A48A4D0ADD72A8,827,1170,RGB
26,page-0026.png,185157,E393FBFB83D0551A4F9EAEE3A89C8A558F4570E2B33AADA1323D818EC58CA6F0,827,1170,RGB
27,page-0027.png,171814,2AA6DD86C9852F9D053CEA31423172CED325C1D048D3C0ABFDA5AF19B1C4C07C,827,1170,RGB
28,page-0028.png,160666,38FD59A5ED19989D1C916EEBFE8A5585F7C85C009C92F83289CB260BB43C1117,827,1170,RGB
29,page-0029.png,155251,28C5E7F1979498E3ECF4EDCA47DA1BB548683C596C25E86CCC0CFD51473C2774,827,1170,RGB
30,page-0030.png,207876,B2A875272DFF255F68BDF309D28ED288624FE16D095EC79F28C3171A5CAC1384,827,1170,RGB
31,page-0031.png,205730,045D8AD7C1C62D70C211A64B1B5D82378A853AB01EB10AF11436CDF2683FD3CC,827,1170,RGB
32,page-0032.png,170977,1F2035E64FD9621E274205B15AF4792407673C383BCBE8EE8D89F874E9DE4EFE,827,1170,RGB
33,page-0033.png,168276,99B7413359825ED1BFAB9173181BF09C95B14BA994C5554B2F553C820BD913FF,827,1170,RGB
34,page-0034.png,180182,DD8145C6EC1700DD5D645DE5BABE97D94683EC03C000F59C7EA48E0A46482A31,827,1170,RGB
35,page-0035.png,173216,0D66AAA95DA044024E32481628927CB900991743EBE1D2990E6A5E239B1DF252,827,1170,RGB
36,page-0036.png,181645,12B4F024C94948DC70898BC8D52CE0996DFB08747DC5D6E0AB2CDA8940E17055,827,1170,RGB
37,page-0037.png,247537,5380746369BA2CAEDB34707F60A97D3777471FFC57FE68DB91CFB2A283DED570,827,1170,RGB
38,page-0038.png,207041,56EE8FE1733E014D0BAEE354EE4C3ECEFADC9BBEA40CA3749CCB4699A7B1D0F7,827,1170,RGB
39,page-0039.png,277044,BEC5A9DAE296B4E7353F66C10DC965EB64EF0F9189AF1BE355B35A8D6D8220D8,827,1170,RGB
40,page-0040.png,153086,B08F53A0288D33FAECDD5E30F00FD5494322B297F01546D1C0C944548B74D704,827,1170,RGB
41,page-0041.png,112923,554EC6A0E8C1A8411EFF1AD18ED3E45AFC3BEF53051A84A78796B206D4EB32CB,827,1170,RGB
42,page-0042.png,284946,C3DCD5845C07BF99D3160128532B7B93842326737C18FFA659981EDE3B7CA25F,827,1170,RGB
43,page-0043.png,326470,6F6AECC342894A67124FF503E0BF91DF73F098E513E4DCB027191A5EDAABEAF5,827,1170,RGB
44,page-0044.png,302519,E570B9CA15A2147FD5E1D04024AC60C33C6973FA21C1A383901B73693C66B725,827,1170,RGB
45,page-0045.png,395145,02608A38CC78FD871CBB9BA1FBA9C58545FAC1A4F24765B50A97AD32AC380EFE,827,1170,RGB
46,page-0046.png,287085,29042BFBE01427AF54B7EF7E036D86B8B0B67EE11E9800F3CDDE1B40C73959DD,827,1170,RGB
47,page-0047.png,401806,03A93581C79D9308541818E4298C26E54FC316D57A3114DCA96FE49F2FBD2D6F,827,1170,RGB
48,page-0048.png,312833,8119560E5ADC028EB32D56EFDA38D76E9B9C7631FBA7F3C8D67148FBA36347A8,827,1170,RGB
49,page-0049.png,345290,7B08C12786A8B80DCE9DE7B4E0F6325387DACEF70276BEE6122FE1431298E58F,827,1170,RGB
50,page-0050.png,199623,0774E3F3561AA201274DF64D019CEA478E3C169875CF53D6366B1B830367548A,827,1170,RGB
51,page-0051.png,241462,F1713D019AD1AC9F44D92194E389EA66211389A1F39F36D0055541E1C46B15AA,827,1170,RGB
52,page-0052.png,311982,A9FAF840E812B200360F091FE478420092EE3B17B93799F38B9803DF2BFB4FC9,827,1170,RGB
53,page-0053.png,303553,20EC8C555DCC7D19543FFCDCAD959E2EED72B516EB4EC5D2A017BC9AA97F3DC6,827,1170,RGB
54,page-0054.png,260784,AE9B7100AD560C3292DF9EE7DE2943443E71148D744BACA0DA4D961FDDFECA04,827,1170,RGB
55,page-0055.png,243284,686A5EAE78C4D745E6B7D3ECDC553F23CF3B51A2226A213CAFA97FEB14D9A147,827,1170,RGB
56,page-0056.png,173474,3BE8C733B0CDCD1C7DE9A59B989414C3D7525529AB1F0E21C71C6A99C62A241B,827,1170,RGB
57,page-0057.png,149203,DA1D33DE9D6C12DB75468AAC752281C01E805803E70042E042C6DA635982B151,827,1170,RGB
58,page-0058.png,257802,2247496AF29086FD1B18153F96F74311630466716A7F31D9897A53CB789CA4EE,827,1170,RGB
59,page-0059.png,209857,A7F5EF2141A61F8ED46E75A3B2DC274067858D6C73BC8123D2D35A658A547358,827,1170,RGB
60,page-0060.png,204822,07D9FEEB6C13F2B5E2084C6ECEDF01562933A71AFCDF789DA7367FE0799F9FE7,827,1170,RGB
61,page-0061.png,207679,6EAB6B9BA7CC88493A549E67205F2F3192014015765AFA28F220FD96AFA4957A,827,1170,RGB
