page,filename,bytes,sha256,width_px,height_px,mode
1,page-0001.png,98318,5C0BC982E12D09415F94ECC26337021BAD7F1C86ACBEB30B0B7BBC78B1FB8310,1654,2339,RGB
5,page-0005.png,316642,1A8EBBE0FA333ABEF05E56A6AC97F10EFCF5D79EA9475B922127F39C2FB68E7C,1654,2339,RGB
6,page-0006.png,326823,5EB844EB97803CF2B94D06C1C3920CB417E892AFD0A962A78DF482E7866AAE09,1654,2339,RGB
7,page-0007.png,343562,F8C01A7E662E1A3F1385DB2A785E7F81FE964684B66AD0AF79A716EB9C4A3438,1654,2339,RGB
9,page-0009.png,331049,354F7DDEFB519D310EFE13EF1A79E42C49459D2C2B93E0A42FCA54409A7B944C,1654,2339,RGB
10,page-0010.png,350484,A612CEAB2A8D28B6B9C9F53B54CCE653DA0FE8DB0C1F627BBE3B894C9F76C98C,1654,2339,RGB
11,page-0011.png,402264,C8D5156063BEE316E91F8895DD49032A1F5AD2568BCDA001CDBC5F09ABAE2118,1654,2339,RGB
12,page-0012.png,433600,042D0A4331F2DBA080C1EEA6534706E57FFB1AFFB7FFF9DEEBC0C87808630DEB,1654,2339,RGB
14,page-0014.png,377429,ADC288B2E8BE5DDF1C485D51CA29F9482E1C47425047E63D8DE70B6837C162A6,1654,2339,RGB
15,page-0015.png,388916,03F1C3F0E66CDDCA56964F9D8D72FDA27BF0FB561902856D5DBBA7B81F0CD6C1,1654,2339,RGB
16,page-0016.png,403489,F3E992B8CC15A5746334D5E2FDD045C21BB9CA554B6B71EF522A599C04AB8DA1,1654,2339,RGB
17,page-0017.png,382365,AB418E10C9EBDF8103BE1C99FB1CA1B700BF544493711A7BE6AA291546C451BA,1654,2339,RGB
19,page-0019.png,357989,51D2B56EEB1BB166579378FE1B9B8C3F8DA75167E1C05CC358FC5D9FC7DB96BB,1654,2339,RGB
21,page-0021.png,410347,81A41869CB2F39F5D18A55ED6F51993345E0597CD96BF8457523397C4430073A,1654,2339,RGB
22,page-0022.png,367533,AB15F5F2D1A354657DBF8A749087E677F05559BEE16DC172E0FB4A4640A715EA,1654,2339,RGB
23,page-0023.png,370079,62F891BAED41BAE202A21FD391EC219EF43A0FEC667A20B2AB04D52D23451FBF,1654,2339,RGB
27,page-0027.png,399900,5C069DE565A1F449B4464BA617F8EE5310BE6480887829A92871C9024ACEB064,1654,2339,RGB
