page,filename,bytes,sha256,width_px,height_px,mode
1,page-0001.png,41170,7FE2CCCD46CC5833E6B2EBAE0463B5B2D2965F33BCD8A0C003FCAA52C7D985BB,827,1170,RGB
2,page-0002.png,265899,A6DEEDBCB71609B8D584A21C5713D2C8F29A7DE5B7CB5A22615094D51B258739,827,1170,RGB
3,page-0003.png,96342,B98E562537DD934F3B48B2F9AF8927F9CC30CA9A308AFFAF97799F730293FEC4,827,1170,RGB
4,page-0004.png,87236,D9C09154F9FDE2EBCD6439C39B26BBFE78995303ECC6B3D0C9B4BE2B2444C1F5,827,1170,RGB
5,page-0005.png,141838,43976BCF976C360BA7B2A0A6F8FA20C3BF434809635385B1184292AE5CC04C34,827,1170,RGB
6,page-0006.png,141482,291E713144E22F0C5454D0CFA4A9E90676F09DDCBBDBD7A50511B39FF98FCE2F,827,1170,RGB
7,page-0007.png,150067,D5CD406C0756E57E161169ED3A9136C0EC3EC302309381F8B13B37EE2E213CA2,827,1170,RGB
8,page-0008.png,141234,90EECF2BDCD2C6D95F937D05E00F28BCC5FEB1CDFA8EE83C0A8485CD6B925783,827,1170,RGB
9,page-0009.png,132752,847EE64FB7828F0FF5672792354EE9A70CF47D5ABF8A739312FE382F39FAC714,827,1170,RGB
10,page-0010.png,163923,40A4DB7730912E75AC5D45C6E4BA0935973E59992D6D57D88D14F0C375674406,827,1170,RGB
11,page-0011.png,171302,F11065D6D75B74B92221061D56419C5940E6BE517B04AE1830AA2595037EAB1F,827,1170,RGB
12,page-0012.png,147561,5E0D3460E832B422BD226283BC2EC59575875FC9AE0AAD885FAD85EF41A4D99D,827,1170,RGB
13,page-0013.png,155494,F9F8868F56AAA19763D0F6B178ACCF9540200F6F1EC7AF7EE04F94A79B5B58DB,827,1170,RGB
14,page-0014.png,172074,995E27001E5478E5273B22DC2C9B5DBC09ECB3250DD9CAEEF6A5466CF51954AA,827,1170,RGB
15,page-0015.png,161088,81CE3C51EF438FB421CFEC4BD168183C99A5198174A0550A76682648920DCCE0,827,1170,RGB
16,page-0016.png,183752,ADB4A632988415B1539E2BBF236B6F81070C28B41DC146455425AB850D604672,827,1170,RGB
17,page-0017.png,210249,F71E1E4762B817D2CA07A9C96457568266BB321A4C6AE8BBBC302947FEF77D93,827,1170,RGB
18,page-0018.png,164218,9FE755C8528E40AC03C59876F22C4B353D5D5F0B0D1823E4459C432474207F61,827,1170,RGB
19,page-0019.png,179735,D67A9BCFD9269A402C836ADAA30843285D6A8FDE1D973F30844F90DAE5166DC5,827,1170,RGB
20,page-0020.png,177089,527C4788AE5A47103EDB6BE9B2F163E94A9C1CEED9CFC6D9E5044B2C4C068549,827,1170,RGB
21,page-0021.png,172141,3A40C17BAE899DA24EAEA54329CE09B2970EC6FE31C3C1CFFAFE1EB8D351D614,827,1170,RGB
22,page-0022.png,165009,AEF8ACC137A3BB3D9D3494899123B930A03446848311682ADD1DE01EDFD400F7,827,1170,RGB
23,page-0023.png,161271,E1921594B774E74DAFAD686530422B307FF160820B00B6A7540C61996E886DE5,827,1170,RGB
24,page-0024.png,169978,C45289D5E8A4B5CB854A1071AE66A0113CBEDF9E7A5FEC53F2E622BEB19CA72C,827,1170,RGB
25,page-0025.png,177640,30B7170F73603017006F5DEC3A1D6B4FA3B2AEE37FAD7FFD61B2E028255C23AC,827,1170,RGB
26,page-0026.png,177962,C7680D6909601828A9361FEDBE1D5737AA19B8D6FD347F55EF0717ED919710A7,827,1170,RGB
27,page-0027.png,179346,BAAFBCCD170B74A9315E56E3B8C17D62F275DF5CFE86B54E06911C261029EF22,827,1170,RGB
28,page-0028.png,151837,0019C507C09C9E605FDB83DBAC83FBCED02F75BBC5B23D2D444C5AF42B64D1CD,827,1170,RGB
29,page-0029.png,168101,99FA8C0A4DDFA0F6B246D1A7EF5D97B0B26335FEEFDD624F0825DDF4F70BB9E0,827,1170,RGB
30,page-0030.png,166350,A9768238FE45C0467ABEDB8BF2E527E285ACB68FAABD586D24BDD3DD3EB3BB9F,827,1170,RGB
31,page-0031.png,212851,BCF29AE223CDE4B6F8701704E4109C69DEA652007CF994AA65C1F720C3148460,827,1170,RGB
32,page-0032.png,204559,055226F7F3033BB11515618955AC636813CDF2FF15DCC04EFAC6FBBD8D6AC7C4,827,1170,RGB
33,page-0033.png,182808,8A60E4C827C778EDE9F40B04EBE9A5DDA7F9D276302D57C32D09909C7D9DEADB,827,1170,RGB
34,page-0034.png,177429,A9EDDCC2FBE705C2F740F19CC5DCCCBC4575A15980BCA9CC2EF88227BF5F5E0C,827,1170,RGB
35,page-0035.png,157625,FB1249668EF026FE7DFB8DB7B96BD740063CC901D9369C9C2BF2E86EE04B34D7,827,1170,RGB
36,page-0036.png,170370,475D04DB143F0A2D2D1D9278DD7199552F5CAEBED0D36D584D3552516572B2A9,827,1170,RGB
37,page-0037.png,177601,8A2EF1C2FD87B181E611D015499E868F52407C05DBCB29E496B341F689B9A440,827,1170,RGB
38,page-0038.png,174218,1C5B6A2B8852B80852D51E7BF288D54B6B33E5510CE270FDE71BCB073CB54BCD,827,1170,RGB
39,page-0039.png,242338,CFC2478593050C060A1B0F07012925AAC2264D118A91898691016322E568A009,827,1170,RGB
40,page-0040.png,207847,ED2BC910177F73F04E09482BE190C33BC0D53F8C7592FE852CEB7CF940A753F6,827,1170,RGB
41,page-0041.png,162643,FC77A9C93464A386EE683DB448364FFFFDA8F359BF478C4DA0F32B0394A20E5B,827,1170,RGB
42,page-0042.png,196169,A886049D66650CCA86D2C1AF76150FCCFEE9E8F41D6F9B5FA4759DBA860AC943,827,1170,RGB
43,page-0043.png,37543,722CD1CB94136200E3B80F80A300D746A707C4351F3BA2930CEAE6D6DBAF7F7C,827,1170,RGB
44,page-0044.png,276798,FD21E84FB61A7B08AEC36D99775FB0643B244D1351076C3BCFDD4F969582A035,827,1170,RGB
45,page-0045.png,153808,77C515F15AAC701FB9F6B44DA386A3F95B4061D3C0C94B2E88CAEADDE6C9A5FA,827,1170,RGB
46,page-0046.png,112923,554EC6A0E8C1A8411EFF1AD18ED3E45AFC3BEF53051A84A78796B206D4EB32CB,827,1170,RGB
47,page-0047.png,284946,C3DCD5845C07BF99D3160128532B7B93842326737C18FFA659981EDE3B7CA25F,827,1170,RGB
48,page-0048.png,326470,6F6AECC342894A67124FF503E0BF91DF73F098E513E4DCB027191A5EDAABEAF5,827,1170,RGB
