page,filename,bytes,sha256,width_px,height_px,mode
1,page-0001.png,41181,D2A965B1AFF7946133B34ECA84535D8F56C8021BCF0C515A377D95AD7B00A414,827,1170,RGB
2,page-0002.png,264342,E548CCF0B6E052CF1D134FAC10F03B1BCB654B312A93E576A0D69CF7249CC7F8,827,1170,RGB
3,page-0003.png,238246,C92A3305D79A7985378C3C7EF65028E1CF8EA5DCD5AB7ACB1FA14050FA545179,827,1170,RGB
4,page-0004.png,87236,D9C09154F9FDE2EBCD6439C39B26BBFE78995303ECC6B3D0C9B4BE2B2444C1F5,827,1170,RGB
5,page-0005.png,141838,43976BCF976C360BA7B2A0A6F8FA20C3BF434809635385B1184292AE5CC04C34,827,1170,RGB
6,page-0006.png,141482,291E713144E22F0C5454D0CFA4A9E90676F09DDCBBDBD7A50511B39FF98FCE2F,827,1170,RGB
7,page-0007.png,150067,D5CD406C0756E57E161169ED3A9136C0EC3EC302309381F8B13B37EE2E213CA2,827,1170,RGB
8,page-0008.png,141234,90EECF2BDCD2C6D95F937D05E00F28BCC5FEB1CDFA8EE83C0A8485CD6B925783,827,1170,RGB
9,page-0009.png,142666,130F20985DF9A135E2C442207ADD11D7522FCA6CC70438872B16C242D4DE88BD,827,1170,RGB
10,page-0010.png,149815,FB5A937795657A65E080C5FF92DF273577AFE9A7E125C3FB94CA32FD6BB2246D,827,1170,RGB
11,page-0011.png,176101,60D83EB9C7D9BF3D3CD50B26C73FE36009E98A0C72D1ECCD54E65A8BBA3974C2,827,1170,RGB
12,page-0012.png,186159,09553CF6B7ECEF970016F92A7C5E6B98FF98E0920935EC8808AA959FCA277063,827,1170,RGB
13,page-0013.png,142456,184D7E6C55237FA50F023C259A2B254A403426958EEE88F3AC8330025E59C9C2,827,1170,RGB
14,page-0014.png,163965,A1DF64544D73E3E48A68E916AFDDF5EADB0796F05BC45CD9723EB88B440C1626,827,1170,RGB
15,page-0015.png,167247,368581C9D4AD1BE76F32D5843DF3E441D2B106401FAC7838D6B710CDCFD41942,827,1170,RGB
16,page-0016.png,175285,01492C9DC4204236EEB0066CC3A082B090D5D292DA253BFCF1F9B61A374FB876,827,1170,RGB
17,page-0017.png,164709,5EE25C6FE4ADE6598F6FDF3AEF1B1D7E4EABE38A2CD0374619055A563E919DB3,827,1170,RGB
18,page-0018.png,161248,BC28FF26E6E876EFE2B836CE8ACA28D70457DE002149E602B54D32C5517EAB15,827,1170,RGB
19,page-0019.png,151911,9713E07E17B3B75C750E053FDC59DF2E30D75ACCF45D6AE8285E5BC1A1EEACA6,827,1170,RGB
20,page-0020.png,170221,6B41EB214230C7E9427EF035C2055FDA74069690877AD47765ADD621392C614D,827,1170,RGB
21,page-0021.png,178347,B2D59336BD4C661B2A26FAE142CC02C81C88FB162B4CD2843FE08376F1AAAE55,827,1170,RGB
22,page-0022.png,159062,8F7F6419A1BE91E46FAB4078E4F39D2614D4E91D67BD39C892B0CD0E3526664D,827,1170,RGB
23,page-0023.png,157553,55BA6E8CE54DA94BC28C020C5D2A8AFADE0AF51E3D9A724832C66A81FA35979A,827,1170,RGB
24,page-0024.png,186329,2E9E33F72FB18869F61F2B042B723992AF499BE5360BB15C758D388F0151D969,827,1170,RGB
25,page-0025.png,162338,B35E4894F44A615F48055F7CCFD43D4F66BBDCAB72D8641A504E4CC0D84E8B49,827,1170,RGB
26,page-0026.png,170161,CB38E4643DFE8A438A63DA421334A5FC27D6BB1E067E46B22020F94D670D8F13,827,1170,RGB
27,page-0027.png,170194,13FBA2CD00218BBC59ECBBA8CFD71B3A3FBD5B153EC9A8CB10F10C8E5FBB1458,827,1170,RGB
28,page-0028.png,179459,D43AF29F32EF5BF955C374403EF4F16AEA9CCA58CD06CE26E9CD83383FC55436,827,1170,RGB
29,page-0029.png,182254,D565CDAAD4F63097610960C8382F5CE0A221C83A0072D9E693A6DE1512127B39,827,1170,RGB
30,page-0030.png,164574,1E9A2AAE3EDE9C9C10F9DA6A5ED64E4F62C989D0EC666438132B8B600CED9032,827,1170,RGB
31,page-0031.png,225781,C423359CF9FA06CDDC95305DAC90CA06469673753FA42D1A2C84A55B4F68DB7C,827,1170,RGB
32,page-0032.png,180071,F2D158607F1C162148412CCA4499054092B1B15058F2EDA84F44ED8F4B0B31B3,827,1170,RGB
33,page-0033.png,189786,3F07C18682876E4299D7E7E9DED7EC5E1C5722679A86A3766C2853687F92E281,827,1170,RGB
34,page-0034.png,184827,87643450D0271B94A20F4C876802747A5D47780C1C95A3872822031187BF0BA6,827,1170,RGB
35,page-0035.png,177872,6A9E6460ADF2666C0B527B367BE48260DEFDF9ECDDFD7C4818506AAB26C0DEF2,827,1170,RGB
36,page-0036.png,181662,A3EB223CC13D3EB9279CAC847507BDCFFF44189E160444CCFF2B2B2AE169DB62,827,1170,RGB
37,page-0037.png,170481,BE95C0825C8876F8FF9B986B76407E3D7DF92FB8852CECB9C576A82B72A82933,827,1170,RGB
38,page-0038.png,183138,7698547398ABCD5A770CCBD0740225ADA1CAA2CBF49A36EC47CBA9205042689A,827,1170,RGB
39,page-0039.png,158171,DD95876A0EDD569DE56C903B1E6A3126E52FA6F90F1C084F1BE8C88C474E4370,827,1170,RGB
40,page-0040.png,195706,DAE6ACC135E1C5CF60B7572B19E357DE2F060D0B8C9AA788663C8F4D0EEA0AD5,827,1170,RGB
41,page-0041.png,176615,CF3D9243E716F8863F40B270C57BE26622F3DE932CAA064D614DD6801F61C284,827,1170,RGB
42,page-0042.png,180262,A311EA1AF87A32FC8AAFAE65465440F8D89B79BB485921EF4C44A17C1BD9C9B6,827,1170,RGB
43,page-0043.png,184903,49D162479E56782DE9AD834E3BDCD75BDF522FCFCA7C43581D9EBB20FD9499BD,827,1170,RGB
44,page-0044.png,169485,CC9534809BF4B46140866C3177A1473ECE71D5DFB5B18B30AA37417A364369CA,827,1170,RGB
45,page-0045.png,162689,3A01D890D09C260BC37E63D39D04545588018B116CCD6936B01D389805C8F441,827,1170,RGB
46,page-0046.png,179069,4852F5292CA8AD862B0D6B4D085282C58EA4D537EE566D1A5353425C189111CB,827,1170,RGB
47,page-0047.png,182257,A2DD27B2430D3733F87E890A2B226C5B65418A1A3290F150730768C8B1AF242C,827,1170,RGB
