page,filename,bytes,sha256,width_px,height_px,mode
1,page-0001.png,98323,DCCF408C92E3BDD34BEF00DAA0F2ED9C2E6ECAD6F1A4615FD4D4EC40EE9FEF23,1654,2339,RGB
2,page-0002.png,528857,4D8170C59032FA1B8A8AE4D13E1B53827EDCBB3B38ABDA5C5F4D401EF24C3D54,1654,2339,RGB
4,page-0004.png,205507,4419D3AA35FF787C5197F0275C0BEA74A6FB22E3EF62746050FA228C96C7B68C,1654,2339,RGB
5,page-0005.png,316642,1A8EBBE0FA333ABEF05E56A6AC97F10EFCF5D79EA9475B922127F39C2FB68E7C,1654,2339,RGB
8,page-0008.png,335598,BC159CCF464BB5DD2AB66E1F2D0097B0E327D990AAAE4B44B84667C03EA5A7E6,1654,2339,RGB
10,page-0010.png,380354,08D157D496B4CC05818316D637CAAC679813A97E4925CBC811B7B263F8813C5E,1654,2339,RGB
11,page-0011.png,392020,86F7D6F78DC30360F47AA7E788E543EC4189A4BCA27989BB46F1E518C2E1AF6D,1654,2339,RGB
12,page-0012.png,400742,A3F7F1DAD7FF64A46C930DB89AF92399EA1C038DF86ABE51D7E71B97F9A31688,1654,2339,RGB
14,page-0014.png,398180,BAFBA93D7BC4053E6C5D41BDBF3884C3FCE33E79A3DBEDE22823C1B3CACE6545,1654,2339,RGB
15,page-0015.png,347272,C110C06319EDFBCC6F12A59B23EAF2BD4C0C29DB87E01069CFDEB58279966645,1654,2339,RGB
16,page-0016.png,369396,118C629F4C9F1CD3E13BF32FCF9B8C78FC5B3C3596720996E6304FA92F85C680,1654,2339,RGB
17,page-0017.png,422844,D3D5716BFF115E58CE6016C6D21B856E5581BD3B985FA017A72DA8729DD8C65B,1654,2339,RGB
20,page-0020.png,397750,8A0CE8B8E33A0D16A3E9B7EE2C00B0A9B068E13E7FC7E39E35ED10852FB172D6,1654,2339,RGB
22,page-0022.png,398910,08AB7682BF8981733CB1C417A1C4BA830E7BA5F777E61490E68F488FF8B6E025,1654,2339,RGB
25,page-0025.png,415626,896B336BDE8534732B3387A477C7B6E58B14F403B110165510076EAAB8E4C853,1654,2339,RGB
26,page-0026.png,378796,4AA69B74BA5C37EDDE8666ED63050E25BBA86E3E5823CBEE5549D0BDCCBA712D,1654,2339,RGB
27,page-0027.png,527508,3B392CEA0D6016120D9058755C855761AD48037E7FC61062672BC3CD1C6FAD86,1654,2339,RGB
28,page-0028.png,409013,16CDD72DCAF07FE556853E8409A88E90DBFB136A4AE7A4C319053831BB877165,1654,2339,RGB
29,page-0029.png,448118,C0D4D93110BAB2356CA2AD8F11EEA60A5DC5D5FE237DD0CF73B2893287FC78BD,1654,2339,RGB
30,page-0030.png,421675,DE86960A68701F7CD9DEB31AA450E2EEF37C5AF8731A9D8E5AA6AB1EA19298AA,1654,2339,RGB
31,page-0031.png,416444,0B8401B07532697E1C9F066D7C902DF66EC5DB61F6B4DD018927EED6DB1D0065,1654,2339,RGB
32,page-0032.png,408419,E35D88C6B5F3C1C348CDC7458253F39D12EA72F499AD7C1E62729D42435BF8E2,1654,2339,RGB
34,page-0034.png,401420,4071C2F3323C88F5A5523CB082A71AFAC37AD61D65ACF192329B00A0433B7139,1654,2339,RGB
38,page-0038.png,428714,6A52613D2F717FFF9C2850A4BF1B28050410BB978B54EF38EE8C226D8C7391CD,1654,2339,RGB
39,page-0039.png,423857,65C9F08B5A31D9C2A2352E1DFF30875B683EE9F835E7D38208375A7B8D65170B,1654,2339,RGB
40,page-0040.png,410073,C98A9EBF4C9BA28E7B46EA2812EEA7D47189B3D557DB0115E386EF9286730F8F,1654,2339,RGB
